Mode,Message Length,Number Of Qubits,Session Key Length,QBER,BB84 Time,QOTP Encryption Time,QOTP Decryption Time,Total Time
normal,32,128,64,0,0.9490056,0.0002983,0.0218466,1.028569
normal,32,128,64,0,2.3636778,0.0002922,0.0312739,2.4583613
normal,32,128,64,0,1.4373121,0.0003052,0.0220638,1.5197019
normal,32,128,64,0,1.5946373,0.0005365,0.0324892,1.6999925
normal,32,128,64,0,1.5106887,0.0005267,0.0194354,1.5883245
normal,32,128,64,0,2.8981162,0.0004064,0.0367171,3.0214625
real,48,128,96,0,3.6031601,0.0005199,0.055183,3.8623702
real,48,128,96,0,2.0615078,0.0002319,0.0447478,2.2053917
real,48,128,96,0,2.0910856,0.0009257,0.0340149,2.2093263
real,48,128,96,0,1.751919,0.0003432,0.03067,1.8531126
real,48,128,96,0,1.7270818,0.00036,0.0342385,1.8865734
real,48,128,96,0,1.6826727,0.000316,0.0251708,1.7696771
dummy,128,128,256,0,3.3415044,0.0007748,0.2705963,4.0916954
dummy,128,128,256,0,4.1448196,0.0009023,0.3251065,5.0287301
dummy,128,128,256,0,3.4283617,0.0010233,0.2979492,4.2096019
dummy,128,128,256,0,4.1387943,0.0017046,0.276949,4.8910746
dummy,128,128,256,0,3.3510954,0.0014121,0.3228255,4.2229852
dummy,128,128,256,0,3.3990267,0.0008122,0.283746,4.1706379
normal,16,128,32,0.0,0.9192844000644982,0.00011929962784051895,0.004872600082308054,0.9498478001914918
normal,40,128,80,0.0,1.9678460997529328,0.00028319982811808586,0.021251900121569633,2.045909599866718
normal,80,128,160,0.0,2.671306799631566,0.0003734002821147442,0.10085529973730445,2.9461888996884227
normal,160,128,320,0.0,3.995184800121933,0.0014718999154865742,0.6447853003628552,5.682564899791032
normal,400,128,800,0.0,10.637145099695772,0.0026492998003959656,8.80298709962517,34.10701989987865
normal,800,128,1600,0.0,20.919906199909747,0.0041276998817920685,74.79936950001866,280.2750655999407
real,16,128,32,0.0,1.668983600102365,0.00042899977415800095,0.009883000049740076,1.7212353996001184
real,40,128,80,0.0,3.6630879999138415,0.0006607002578675747,0.023409799672663212,3.754030200187117
real,80,128,160,0.0,4.814119599759579,0.0006702998653054237,0.1994822002016008,5.301320800092071
real,160,128,320,0.0,10.534216099884361,0.0011171000078320503,0.8560240999795496,12.72995589999482
real,400,128,800,0.0,17.892800400033593,0.004037899896502495,14.74413499981165,54.493566600140184
real,800,128,1600,0.0,34.46536929998547,0.00756749976426363,121.04336709994823,354.0100169000216
dummy,128,128,256,0.0,6.823871199972928,0.0008838996291160583,0.5636602002196014,8.434510299935937
dummy,128,128,256,0.0,6.430216200184077,0.0013683000579476357,0.8331788000650704,8.787561000324786
dummy,128,128,256,0.0,6.507125099655241,0.002161999698728323,0.5518636000342667,7.967983900103718
dummy,128,128,256,0.0,6.821585000026971,0.001119299791753292,0.6871887003071606,8.583082600031048
dummy,128,128,256,0.0,8.04926129989326,0.0014436999335885048,0.5291422996670008,9.49568790011108
dummy,128,128,256,0.0,10.547120000235736,0.001529499888420105,0.8526697000488639,12.359743400011212
normal,16,128,32,0.0,0.8032885999418795,0.0001833997666835785,0.005781000014394522,0.8352117002941668
normal,40,128,80,0.0,1.584207400213927,0.0003490997478365898,0.019693300127983093,1.6528377998620272
normal,80,128,160,0.0,2.372367599979043,0.0006674001924693584,0.09572149999439716,2.688739300239831
normal,160,128,320,0.0,4.060550699941814,0.0009576999582350254,0.6568550998345017,5.838423700071871
normal,400,128,800,0.0,10.519070499576628,0.0027083000168204308,10.841722399927676,38.7536478000693
normal,800,128,1600,0.0,23.825407800264657,0.00447589997202158,69.69214450009167,209.39129860000685
real,16,128,32,0.0,0.7895215996541083,9.769992902874947e-05,0.00409690011292696,0.8120844000950456
real,40,128,80,0.0,2.275577399879694,0.0002117999829351902,0.018937199842184782,2.340382399968803
real,80,128,160,0.0,2.683337800204754,0.000635799951851368,0.07233310025185347,2.8944713003002107
real,160,128,320,0.0,4.250844900030643,0.0009536999277770519,0.5434345002286136,5.630049599800259
real,400,128,800,0.0,11.671226900070906,0.002437099814414978,7.7119357995688915,31.063076499849558
real,800,128,1600,0.0,22.989103500265628,0.0062917000614106655,63.07504629995674,183.34254010021687
dummy,128,128,256,0.0,3.2825858001597226,0.001061100047081709,0.348210500087589,4.207682900130749
dummy,128,128,256,0.0,4.134947900194675,0.0007576998323202133,0.29500869987532496,4.904137399978936
dummy,128,128,256,0.0,3.972041599918157,0.0013460000045597553,0.3088879999704659,4.899938399903476
dummy,128,128,256,0.0,3.8217178001068532,0.0007423004135489464,0.30700810020789504,4.760388100054115
dummy,128,128,256,0.0,3.9584424002096057,0.0008338000625371933,0.3011988000944257,4.778000799939036
dummy,128,128,256,0.0,3.240367100108415,0.0007462999783456326,0.2943908995948732,4.023942600004375
